region,annee,ASMR
Colombie-Britannique,1988,204
Colombie-Britannique,1989,203
Colombie-Britannique,1990,200
Colombie-Britannique,1991,197
Colombie-Britannique,1992,191
Colombie-Britannique,1993,197
Colombie-Britannique,1994,200
Colombie-Britannique,1995,191
Colombie-Britannique,1996,192
Colombie-Britannique,1997,194
Colombie-Britannique,1998,192
Colombie-Britannique,1999,187
Colombie-Britannique,2000,185
Colombie-Britannique,2001,182
Colombie-Britannique,2002,186
Colombie-Britannique,2003,187
Colombie-Britannique,2004,185
Colombie-Britannique,2005,176
Colombie-Britannique,2006,179
Colombie-Britannique,2007,178
Colombie-Britannique,2008,174
Colombie-Britannique,2009,170
Colombie-Britannique,2010,174
Colombie-Britannique,2011,168
Colombie-Britannique,2012,171
Colombie-Britannique,2013,167
Colombie-Britannique,2014,165
Colombie-Britannique,2015,163
Colombie-Britannique,2016,162
Colombie-Britannique,2017,160
Alberta,1988,202
Alberta,1989,199
Alberta,1990,189
Alberta,1991,188
Alberta,1992,200
Alberta,1993,203
Alberta,1994,195
Alberta,1995,191
Alberta,1996,208
Alberta,1997,195
Alberta,1998,188
Alberta,1999,199
Alberta,2000,198
Alberta,2001,185
Alberta,2002,192
Alberta,2003,196
Alberta,2004,192
Alberta,2005,178
Alberta,2006,182
Alberta,2007,180
Alberta,2008,181
Alberta,2009,174
Alberta,2010,168
Alberta,2011,164
Alberta,2012,166
Alberta,2013,165
Alberta,2014,163
Alberta,2015,161
Alberta,2016,159
Alberta,2017,157
Saskatchewan,1988,186
Saskatchewan,1989,169
Saskatchewan,1990,190
Saskatchewan,1991,183
Saskatchewan,1992,182
Saskatchewan,1993,182
Saskatchewan,1994,193
Saskatchewan,1995,186
Saskatchewan,1996,193
Saskatchewan,1997,184
Saskatchewan,1998,193
Saskatchewan,1999,189
Saskatchewan,2000,203
Saskatchewan,2001,184
Saskatchewan,2002,195
Saskatchewan,2003,192
Saskatchewan,2004,188
Saskatchewan,2005,190
Saskatchewan,2006,190
Saskatchewan,2007,187
Saskatchewan,2008,178
Saskatchewan,2009,177
Saskatchewan,2010,191
Saskatchewan,2011,187
Saskatchewan,2012,177
Saskatchewan,2013,181
Saskatchewan,2014,181
Saskatchewan,2015,181
Saskatchewan,2016,180
Saskatchewan,2017,179
Manitoba,1988,208
Manitoba,1989,200
Manitoba,1990,209
Manitoba,1991,205
Manitoba,1992,207
Manitoba,1993,198
Manitoba,1994,211
Manitoba,1995,216
Manitoba,1996,217
Manitoba,1997,213
Manitoba,1998,212
Manitoba,1999,207
Manitoba,2000,202
Manitoba,2001,202
Manitoba,2002,213
Manitoba,2003,201
Manitoba,2004,215
Manitoba,2005,198
Manitoba,2006,201
Manitoba,2007,195
Manitoba,2008,199
Manitoba,2009,201
Manitoba,2010,198
Manitoba,2011,187
Manitoba,2012,187
Manitoba,2013,192
Manitoba,2014,191
Manitoba,2015,190
Manitoba,2016,189
Manitoba,2017,188
Ontario,1988,209
Ontario,1989,208
Ontario,1990,202
Ontario,1991,207
Ontario,1992,204
Ontario,1993,206
Ontario,1994,208
Ontario,1995,206
Ontario,1996,205
Ontario,1997,192
Ontario,1998,198
Ontario,1999,202
Ontario,2000,203
Ontario,2001,201
Ontario,2002,198
Ontario,2003,198
Ontario,2004,195
Ontario,2005,194
Ontario,2006,185
Ontario,2007,185
Ontario,2008,184
Ontario,2009,178
Ontario,2010,179
Ontario,2011,176
Ontario,2012,173
Ontario,2013,171
Ontario,2014,169
Ontario,2015,167
Ontario,2016,165
Ontario,2017,163
Quebec,1988,217
Quebec,1989,208
Quebec,1990,214
Quebec,1991,217
Quebec,1992,219
Quebec,1993,218
Quebec,1994,218
Quebec,1995,213
Quebec,1996,218
Quebec,1997,214
Quebec,1998,217
Quebec,1999,211
Quebec,2000,210
Quebec,2001,215
Quebec,2002,216
Quebec,2003,210
Quebec,2004,213
Quebec,2005,210
Quebec,2006,208
Quebec,2007,208
Quebec,2008,208
Quebec,2009,202
Quebec,2010,199
Quebec,2011,197
Quebec,2012,199
Quebec,2013,196
Quebec,2014,194
Quebec,2015,192
Quebec,2016,191
Quebec,2017,189
