region,abreviation,Sein,Poumon,Colorectal,Thyroide,Estomac,Foie,TousLesCancers
Colombie-Britannique,C-B,30,1500,1850,140,250,300,12900
Alberta,Alb,15,1100,1250,160,180,180,9700
Saskatchewan,Sask,5,370,500,25,70,30,2800
Manitoba,Man,5,430,510,35,85,45,3300
Ontario,Ont,95,5300,5700,710,850,760,39800
Quebec,Qc,60,4400,3800,450,570,480,26300
Nouveau-Brunswick,N-B,5,420,380,35,60,20,2400
Nouvelle-Ecosse,N-E,10,470,470,35,60,40,3100
Ile-du-Prince-Edouard,I-P-E,0,75,70,5,10,5,470
Terre-Neuve-et-Labrado,T-N-L,5,320,360,30,65,20,2000
